date,AAPL,AMZN,GOOGL,MSFT
20/05/2024,191.0399933,183.5399933,176.9199982,425.3399963
21/05/2024,192.3500061,183.1499939,177.8500061,429.0400085
22/05/2024,190.8999939,183.1300049,176.3800049,430.519989
23/05/2024,186.8800049,181.0500031,173.5500031,427
24/05/2024,189.9799957,180.75,174.9900055,430.1600037
28/05/2024,189.9900055,182.1499939,176.3999939,430.3200073
29/05/2024,190.2899933,182.0200043,175.8999939,429.1700134
30/05/2024,191.2899933,179.3200073,172.1100006,414.6700134
31/05/2024,192.25,176.4400024,172.5,415.1300049
03/06/2024,194.0299988,178.3399963,173.1699982,413.519989
04/06/2024,194.3500061,179.3399963,173.7899933,416.0700073
05/06/2024,195.8699951,181.2799988,175.4100037,424.0100098
06/06/2024,194.4799957,185,176.7299957,424.519989
07/06/2024,196.8899994,184.3000031,174.4600067,423.8500061
10/06/2024,193.1199951,187.0599976,175.0099945,427.8699951
11/06/2024,207.1499939,187.2299957,176.6199951,432.6799927
12/06/2024,213.0700073,186.8899994,177.7899933,441.0599976
13/06/2024,214.2400055,183.8300018,175.1600037,441.5799866
14/06/2024,212.4900055,183.6600037,176.7899933,442.5700073
17/06/2024,216.6699982,184.0599976,177.2400055,448.3699951
18/06/2024,214.2899933,182.8099976,175.0899963,446.3399963
20/06/2024,209.6799927,186.1000061,176.3000031,445.7000122
21/06/2024,207.4900055,189.0800018,179.6300049,449.7799988
24/06/2024,208.1399994,185.5700073,179.2200012,447.6700134
25/06/2024,209.0700073,186.3399963,184.0299988,450.9500122
26/06/2024,213.25,193.6100006,183.8800049,452.1600037
27/06/2024,214.1000061,197.8500061,185.4100037,452.8500061
28/06/2024,210.6199951,193.25,182.1499939,446.9500122
01/07/2024,216.75,197.1999969,182.9900055,456.730011
02/07/2024,220.2700043,200,185.2400055,459.2799988
03/07/2024,221.5500031,197.5899963,185.8200073,460.769989
05/07/2024,226.3399963,200,190.6000061,467.5599976
08/07/2024,227.8200073,199.2899933,189.0299988,466.2399902
09/07/2024,228.6799927,199.3399963,188.9799957,459.5400085
10/07/2024,232.9799957,199.7899933,191.1799927,466.25
11/07/2024,227.5700073,195.0500031,185.5700073,454.7000122
12/07/2024,230.5399933,194.4900055,185.0700073,453.5499878
15/07/2024,234.3999939,192.7200012,186.5299988,453.9599915
16/07/2024,234.8200073,193.0200043,183.9199982,449.519989
17/07/2024,228.8800049,187.9299927,181.0200043,443.519989
18/07/2024,224.1799927,183.75,177.6900024,440.3699951
19/07/2024,224.3099976,183.1300049,177.6600037,437.1099854
22/07/2024,223.9600067,182.5500031,181.6699982,442.9400024
23/07/2024,225.0099945,186.4100037,181.7899933,444.8500061
24/07/2024,218.5399933,180.8300018,172.6300049,428.8999939
25/07/2024,217.4900055,179.8500061,167.2799988,418.3999939
26/07/2024,217.9600067,182.5,167,425.269989
29/07/2024,218.2400055,183.1999969,169.5299988,426.730011
30/07/2024,218.8000031,181.7100067,170.2899933,422.9200134
31/07/2024,222.0800018,186.9799957,171.5399933,418.3500061
01/08/2024,218.3600006,184.0700073,170.7599945,417.1099854
02/08/2024,219.8600006,167.8999939,166.6600037,408.4899902
05/08/2024,209.2700043,161.0200043,159.25,395.1499939
06/08/2024,207.2299957,161.9299927,158.2899933,399.6099854
07/08/2024,209.8200073,162.7700043,158.9400024,398.4299927
08/08/2024,213.3099976,165.8000031,162.0299988,402.6900024
09/08/2024,216.2400055,166.9400024,163.6699982,406.019989
12/08/2024,217.5299988,166.8000031,162.2899933,406.8099976
13/08/2024,221.2700043,170.2299957,164.1600037,414.0100098
14/08/2024,221.7200012,170.1000061,160.3699951,416.8599854
15/08/2024,224.7200012,177.5899963,161.3000031,421.0299988
16/08/2024,226.0500031,177.0599976,162.9600067,418.4700012
19/08/2024,225.8899994,178.2200012,166.6699982,421.5299988
20/08/2024,226.5099945,178.8800049,167.1799927,424.7999878
21/08/2024,226.3999939,180.1100006,165.8500061,424.1400146
22/08/2024,224.5299988,176.1300049,163.8000031,415.5499878
23/08/2024,226.8399963,177.0399933,165.6199951,416.7900085
26/08/2024,227.1799927,175.5,166.1600037,413.4899902
27/08/2024,228.0299988,173.1199951,164.6799927,413.8399963
28/08/2024,226.4900055,170.8000031,162.8500061,410.6000061
29/08/2024,229.7899933,172.1199951,161.7799988,413.1199951
30/08/2024,229,178.5,163.3800049,417.1400146
03/09/2024,222.7700043,176.25,157.3600006,409.4400024
04/09/2024,220.8500061,173.3300018,156.4499969,408.8999939
05/09/2024,222.3800049,177.8899994,157.2400055,408.3900146
06/09/2024,220.8200073,171.3899994,150.9199982,401.7000122
09/09/2024,220.9100037,175.3999939,148.7100067,405.7200012
10/09/2024,220.1100006,179.5500031,148.6600037,414.2000122
11/09/2024,222.6600037,184.5200043,151.1600037,423.0400085
12/09/2024,222.7700043,187,154.6900024,427
13/09/2024,222.5,186.4900055,157.4600067,430.5899963
16/09/2024,216.3200073,184.8899994,158.0599976,431.3399963
17/09/2024,216.7899933,186.8800049,159.3200073,435.1499939
18/09/2024,220.6900024,186.4299927,159.8099976,430.8099976
19/09/2024,228.8699951,189.8699951,162.1399994,438.6900024
20/09/2024,228.1999969,191.6000061,163.5899963,435.269989
23/09/2024,226.4700012,193.8800049,161.8500061,433.5100098
24/09/2024,227.3699951,193.9600067,162.2899933,429.1700134
25/09/2024,226.3699951,192.5299988,161.4900055,432.1099854
26/09/2024,227.5200043,191.1600037,162.7299957,431.3099976
27/09/2024,227.7899933,187.9700012,163.9499969,428.019989
30/09/2024,233,186.3300018,165.8500061,430.2999878
01/10/2024,226.2100067,185.1300049,166.9900055,420.6900024
02/10/2024,226.7799988,184.7599945,165.8600006,417.1300049
03/10/2024,225.6699982,181.9600067,165.8600006,416.5400085
04/10/2024,226.8000031,186.5099945,167.0599976,416.0599976
07/10/2024,221.6900024,180.8000031,162.9799957,409.5400085
08/10/2024,225.7700043,182.7200012,164.3800049,414.7099915
09/10/2024,229.5399933,185.1699982,161.8600006,417.4599915
10/10/2024,229.0399933,186.6499939,162.0800018,415.8399963
11/10/2024,227.5500031,188.8200073,163.2400055,416.3200073
14/10/2024,231.3000031,187.5399933,164.9600067,419.1400146
15/10/2024,233.8500061,187.6900024,165.4600067,418.7399902
16/10/2024,231.7799988,186.8899994,165.1600037,416.1199951
17/10/2024,232.1499939,187.5299988,162.9299927,416.7200012
18/10/2024,235,188.9900055,163.4199982,418.1600037
21/10/2024,236.4799957,189.0700073,164.0700073,418.7799988
22/10/2024,235.8600006,189.6999969,165.1399994,427.5100098
23/10/2024,230.7599945,184.7100067,162.7799988,424.6000061
24/10/2024,230.5700073,186.3800049,162.7200012,424.730011
25/10/2024,231.4100037,187.8300018,165.2700043,428.1499939
28/10/2024,233.3999939,188.3899994,166.7200012,426.5899963
29/10/2024,233.6699982,190.8300018,169.6799927,431.9500122
30/10/2024,230.1000061,192.7299957,174.4600067,432.5299988
31/10/2024,225.9100037,186.3999939,171.1100006,406.3500061
