,AAPL,AMZN,GOOGL,MSFT
2024-03-06,169.1199951171875,173.50999450683594,131.39999389648438,402.0899963378906
2024-03-07,169.0,176.82000732421875,134.3800048828125,409.1400146484375
2024-03-08,170.72999572753906,175.35000610351562,135.41000366210938,406.2200012207031
2024-03-11,172.75,171.9600067138672,137.6699981689453,404.5199890136719
2024-03-12,173.22999572753906,175.38999938964844,138.5,415.2799987792969
2024-03-13,171.1300048828125,176.55999755859375,139.7899932861328,415.1000061035156
2024-03-14,173.0,178.75,143.10000610351562,425.2200012207031
2024-03-15,172.6199951171875,174.4199981689453,141.17999267578125,416.4200134277344
2024-03-18,173.72000122070312,174.47999572753906,147.67999267578125,417.32000732421875
2024-03-19,176.0800018310547,175.89999389648438,147.02999877929688,421.4100036621094
2024-03-20,178.6699981689453,178.14999389648438,148.74000549316406,425.2300109863281
2024-03-21,171.3699951171875,178.14999389648438,147.60000610351562,429.3699951171875
2024-03-22,172.27999877929688,178.8699951171875,150.77000427246094,428.739990234375
2024-03-25,170.85000610351562,179.7100067138672,150.07000732421875,422.8599853515625
2024-03-26,169.7100067138672,178.3000030517578,150.6699981689453,421.6499938964844
2024-03-27,173.30999755859375,179.8300018310547,150.8699951171875,421.42999267578125
2024-03-28,171.47999572753906,180.3800048828125,150.92999267578125,420.7200012207031
2024-04-01,170.02999877929688,180.97000122070312,155.49000549316406,424.57000732421875
2024-04-02,168.83999633789062,180.69000244140625,154.55999755859375,421.44000244140625
2024-04-03,169.64999389648438,182.41000366210938,154.9199981689453,420.45001220703125
2024-04-04,168.82000732421875,180.0,150.52999877929688,417.8800048828125
2024-04-05,169.5800018310547,185.07000732421875,152.5,425.5199890136719
2024-04-08,168.4499969482422,185.19000244140625,154.85000610351562,424.5899963378906
2024-04-09,169.6699981689453,185.6699981689453,156.60000610351562,426.2799987792969
2024-04-10,167.77999877929688,185.9499969482422,156.13999938964844,423.260009765625
2024-04-11,175.0399932861328,189.0500030517578,159.41000366210938,427.92999267578125
2024-04-12,176.5500030517578,186.1300048828125,157.72999572753906,421.8999938964844
2024-04-15,172.69000244140625,183.6199951171875,154.86000061035156,413.6400146484375
2024-04-16,169.3800048828125,183.32000732421875,154.39999389648438,414.5799865722656
2024-04-17,168.0,181.27999877929688,155.47000122070312,411.8399963378906
2024-04-18,167.0399932861328,179.22000122070312,156.00999450683594,404.2699890136719
2024-04-19,165.0,174.6300048828125,154.08999633789062,399.1199951171875
2024-04-22,165.83999633789062,177.22999572753906,156.27999877929688,400.9599914550781
2024-04-23,166.89999389648438,179.5399932861328,158.25999450683594,407.57000732421875
2024-04-24,169.02000427246094,176.58999633789062,159.1300048828125,409.05999755859375
2024-04-25,169.88999938964844,173.6699981689453,156.0,399.0400085449219
2024-04-26,169.3000030517578,179.6199951171875,171.9499969482422,406.32000732421875
2024-04-29,173.5,180.9600067138672,166.14999389648438,402.25
2024-04-30,170.3300018310547,175.0,162.77999877929688,389.3299865722656
2024-05-01,169.3000030517578,179.0,163.86000061035156,394.94000244140625
2024-05-02,173.02999877929688,184.72000122070312,166.6199951171875,397.8399963378906
2024-05-03,183.3800048828125,186.2100067138672,167.24000549316406,406.6600036621094
2024-05-06,181.7100067138672,188.6999969482422,168.10000610351562,413.5400085449219
2024-05-07,182.39999389648438,188.75999450683594,171.25,409.3399963378906
2024-05-08,182.74000549316406,188.0,169.3800048828125,410.5400085449219
2024-05-09,184.57000732421875,189.5,169.9600067138672,412.32000732421875
2024-05-10,183.0500030517578,187.47999572753906,168.64999389648438,414.739990234375
2024-05-13,186.27999877929688,186.57000732421875,169.13999938964844,413.7200012207031
2024-05-14,187.42999267578125,187.07000732421875,170.33999633789062,416.55999755859375
2024-05-15,189.72000122070312,185.99000549316406,172.50999450683594,423.0799865722656
2024-05-16,189.83999633789062,183.6300048828125,174.17999267578125,420.989990234375
2024-05-17,189.8699951171875,184.6999969482422,176.05999755859375,420.2099914550781
2024-05-20,191.0399932861328,183.5399932861328,176.9199981689453,425.3399963378906
2024-05-21,192.35000610351562,183.14999389648438,177.85000610351562,429.0400085449219
2024-05-22,190.89999389648438,183.1300048828125,176.3800048828125,430.5199890136719
2024-05-23,186.8800048828125,181.0500030517578,173.5500030517578,427.0
2024-05-24,189.97999572753906,180.75,174.99000549316406,430.1600036621094
2024-05-28,189.99000549316406,182.14999389648438,176.39999389648438,430.32000732421875
2024-05-29,190.2899932861328,182.02000427246094,175.89999389648438,429.1700134277344
2024-05-30,191.2899932861328,179.32000732421875,172.11000061035156,414.6700134277344
2024-05-31,192.25,176.44000244140625,172.5,415.1300048828125
2024-06-03,194.02999877929688,178.33999633789062,173.1699981689453,413.5199890136719
2024-06-04,194.35000610351562,179.33999633789062,173.7899932861328,416.07000732421875
2024-06-05,195.8699951171875,181.27999877929688,175.41000366210938,424.010009765625
2024-06-06,194.47999572753906,185.0,176.72999572753906,424.5199890136719
2024-06-07,196.88999938964844,184.3000030517578,174.4600067138672,423.8500061035156
2024-06-10,193.1199951171875,187.05999755859375,175.00999450683594,427.8699951171875
2024-06-11,207.14999389648438,187.22999572753906,176.6199951171875,432.67999267578125
2024-06-12,213.07000732421875,186.88999938964844,177.7899932861328,441.05999755859375
2024-06-13,214.24000549316406,183.8300018310547,175.16000366210938,441.5799865722656
2024-06-14,212.49000549316406,183.66000366210938,176.7899932861328,442.57000732421875
2024-06-17,216.6699981689453,184.05999755859375,177.24000549316406,448.3699951171875
2024-06-18,214.2899932861328,182.80999755859375,175.08999633789062,446.3399963378906
2024-06-20,209.67999267578125,186.10000610351562,176.3000030517578,445.70001220703125
2024-06-21,207.49000549316406,189.0800018310547,179.6300048828125,449.7799987792969
2024-06-24,208.13999938964844,185.57000732421875,179.22000122070312,447.6700134277344
2024-06-25,209.07000732421875,186.33999633789062,184.02999877929688,450.95001220703125
2024-06-26,213.25,193.61000061035156,183.8800048828125,452.1600036621094
2024-06-27,214.10000610351562,197.85000610351562,185.41000366210938,452.8500061035156
2024-06-28,210.6199951171875,193.25,182.14999389648438,446.95001220703125
2024-07-01,216.75,197.1999969482422,182.99000549316406,456.7300109863281
2024-07-02,220.27000427246094,200.0,185.24000549316406,459.2799987792969
2024-07-03,221.5500030517578,197.58999633789062,185.82000732421875,460.7699890136719
2024-07-05,226.33999633789062,200.0,190.60000610351562,467.55999755859375
2024-07-08,227.82000732421875,199.2899932861328,189.02999877929688,466.239990234375
2024-07-09,228.67999267578125,199.33999633789062,188.97999572753906,459.5400085449219
2024-07-10,232.97999572753906,199.7899932861328,191.17999267578125,466.25
2024-07-11,227.57000732421875,195.0500030517578,185.57000732421875,454.70001220703125
